Date,Change
9/1/15,-58.33
9/2/15,35.01
9/3/15,2.27
9/4/15,-29.9
9/8/15,48.19
9/9/15,-27.38
9/10/15,10.25
9/11/15,8.76
9/14/15,-8.02
9/15/15,25.06
9/16/15,17.22
9/17/15,-5.11
9/18/15,-32.17
9/21/15,8.94
9/22/15,-24.23
9/23/15,-3.98
9/24/15,-6.52
9/25/15,-0.9
9/28/15,-49.57
9/29/15,2.32
9/30/15,35.94
10/1/15,3.79
10/2/15,27.54
10/5/15,35.69
10/6/15,-7.14
10/7/15,15.91
10/8/15,17.6
10/9/15,1.46
10/12/15,2.56
10/13/15,-13.77
10/14/15,-9.45
10/15/15,29.62
10/16/15,9.25
10/19/15,0.55
10/20/15,-2.9
10/21/15,-11.83
10/22/15,33.57
10/23/15,22.64
10/26/15,-3.97
10/27/15,-5.29
10/28/15,24.46
10/29/15,-0.95
10/30/15,-10.05
11/2/15,24.69
11/3/15,5.74
11/4/15,-7.47
11/5/15,-2.38
11/6/15,-0.73
11/9/15,-20.62
11/10/15,3.14
11/11/15,-6.71
11/12/15,-29.04
11/13/15,-22.93
11/16/15,30.15
11/17/15,-2.75
11/18/15,33.15
11/19/15,-2.34
11/20/15,7.93
11/23/15,-2.58
11/24/15,2.55
11/25/15,-0.27
11/27/15,1.23
11/30/15,-9.7
12/1/15,22.23
12/2/15,-23.13
12/3/15,-29.89
12/4/15,42.07
12/7/15,-14.62
12/8/15,-13.48
12/9/15,-15.97
12/10/15,4.61
12/11/15,-39.86
12/14/15,9.57
12/15/15,21.47
12/16/15,29.66
12/17/15,-31.18
12/18/15,-36.34
12/21/15,15.6
12/22/15,17.82
12/23/15,25.32
12/24/15,-3.3
12/28/15,-4.49
12/29/15,21.86
12/30/15,-15.01
12/31/15,-19.42
1/4/16,-31.28
1/5/16,4.06
1/6/16,-26.45
1/7/16,-47.17
1/8/16,-21.06
1/11/16,1.64
1/12/16,15
1/13/16,-48.4
1/14/16,31.56
1/15/16,-41.51
1/19/16,1.01
1/20/16,-22
1/21/16,9.66
1/22/16,37.92
1/25/16,-29.83
1/26/16,26.55
1/27/16,-20.68
1/28/16,10.41
1/29/16,46.88
2/1/16,-0.86
2/2/16,-36.35
2/3/16,9.5
2/4/16,2.91
2/5/16,-35.39
2/8/16,-26.62
2/9/16,-1.23
2/10/16,-0.35
2/11/16,-22.78
2/12/16,35.7
2/16/16,30.8
2/17/16,31.25
2/18/16,-8.99
2/19/16,-0.05
2/22/16,27.72
2/23/16,-24.23
2/24/16,8.53
2/25/16,21.9
2/26/16,-3.65
2/29/16,-15.83
3/1/16,46.12
3/2/16,8.11
3/3/16,6.95
3/4/16,6.59
3/7/16,1.77
3/8/16,-22.5
3/9/16,10
3/10/16,0.3
3/11/16,32.62
3/14/16,-2.55
3/15/16,-3.71
3/16/16,11.29
3/17/16,13.37
3/18/16,8.99
3/21/16,2.02
3/22/16,-1.8
3/23/16,-13.09
3/24/16,-0.78
3/28/16,1.11
3/29/16,17.96
3/30/16,8.93
3/31/16,-4.2
4/1/16,13.04
4/4/16,-6.65
4/5/16,-20.96
4/6/16,21.5
4/7/16,-24.75
4/8/16,5.69
4/11/16,-5.61
4/12/16,19.73
4/13/16,20.7
4/14/16,0.36
4/15/16,-2.05
4/18/16,13.61
4/19/16,6.46
4/20/16,1.6
4/21/16,-10.91
4/22/16,0.1
4/25/16,-3.79
4/26/16,3.9
4/27/16,3.46
4/28/16,-19.34
4/29/16,-10.51
5/2/16,16.13
5/3/16,-18.06
5/4/16,-12.25
5/5/16,-0.49
5/6/16,6.51
5/9/16,1.55
5/10/16,25.7
5/11/16,-19.92
5/12/16,-0.35
5/13/16,-17.49
5/16/16,20.04
5/17/16,-19.45
5/18/16,0.42
5/19/16,-7.59
5/20/16,12.28
5/23/16,-4.27
5/24/16,28.01
5/25/16,14.49
5/26/16,-0.44
5/27/16,8.96
5/31/16,-2.1
6/1/16,2.37
6/2/16,5.93
6/3/16,-6.14
6/6/16,10.28
6/7/16,2.72
6/8/16,6.99
6/9/16,-3.64
6/10/16,-19.41
6/13/16,-17.01
6/14/16,-3.74
6/15/16,-3.81
6/16/16,6.49
6/17/16,-6.77
6/20/16,12.03
6/21/16,5.65
6/22/16,-3.45
6/23/16,27.87
6/24/16,-75.92
6/27/16,-36.87
6/28/16,35.56
6/29/16,34.68
6/30/16,28.08
7/1/16,4.1
7/5/16,-14.41
7/6/16,11.19
7/7/16,-1.83
7/8/16,32
7/11/16,7.26
7/12/16,14.98
7/13/16,0.28
